Common_Name,IUCN_WebID
African Elephant,12392/3339343
African Wild Dog,12436/16711116
Albacore Tuna,21856/9325450
Amazon River Dolphin,10831/50358152
Amur Leopard,15954/102421779
Arctic Fox,899/57549321
Arctic Wolf,3746/119623865
Asian Elephant,7140/12828813
Beluga,6335/50352346
Bigeye Tuna,21859/9329255
Black Rhino,6557/16980917
Black Spider Monkey,2283/9392691
Black-footed Ferret,14020/45200314
Blue Whale,2477/50226195
Bluefin Tuna,21860/9331546
Bonobo,15932/102331567
Bornean Orangutan,17975/123809220
Bowhead Whale,2467/50347659
Brown Bear,41688/121229971
Chimpanzee,15933/129038584
Common Bottlenose Dolphin,22563/50377908
Dugong,6909/43792211
Eastern Lowland Gorilla,39994/115576640
Fin Whale,2478/50349982
Galapagos Penguin,22697825/132606008
Ganges River Dolphin,41758/50383612
Giant Panda,712/121745669
Gray Whale,8097/50353881
Great White Shark,3855/10133872
Greater One-Horned Rhino,19496/8928657
Greater Sage-Grouse,22679503/92816586
Green Turtle,4615/11037468
Hawksbill Turtle,8005/12881238
Hector's Dolphin,4162/44199757
Hippopotamus,10103/18567364
Humphead Wrasse,4592/11023949
Irrawaddy Dolphin,15419/123790805
Jaguar,15953/123791436
Javan Rhino,19495/8925965
Leatherback Turtle,6494/43526147
Loggerhead Turtle,3897/119333622
Macaw,22685539/131917270
Marine Iguana,1086/3222951
Mountain Plover,22693876/131931306
Narwhal,13704/50367651
North Atlantic Right Whale,41712/50380891
Olive Ridley Turtle,11534/3292503
Plains Bison,2815/123789863
Poison Dart Frog,55191/11255828
Polar Bear,22823/14871490
Pronghorn,1677/115056938
Red Panda,714/110023718
Saola,18597/46364962
Sea Lions,41668/45230540
Sei Whale,2475/130482064
Skipjack Tuna,170310/6739812
Snow Leopard,22732/50664030
Southern rockhopper penguin,22735250/132664584
Sumatran Orangutan,121097935/123797627
Sumatran Rhino,6553/12787457
Swift Fox,23059/57629306
Tiger,15955/50659951
Tree Kangaroo,6436/21956250
Vaquita,17028/50370296
Western Lowland Gorilla,9404/136250858
Whale Shark,19488/2365291
White Rhino,4185/16980466
Yangtze Finless Porpoise,41754/50381766
Yellowfin Tuna,21857/9327139
